농가명,측정시간,온도_외부,풍향_외부,풍속_외부,일사량_외부,누적일사량_외부,강우감지,온도_내부,상대습도_내부,잔존CO2,토양온도,비고
정병두,2024.8.17 0:00,26.1,0,0,0,1549,0,26.7,99.6,391,0,
정병두,2024.8.17 1:00,26.6,0,0,0,1549,1,27.2,99.7,391,0,
정병두,2024.8.17 2:00,25.7,0,0,0,1549,0,26.4,99.8,391,0,
정병두,2024.8.17 3:00,25.5,0,0,0,1549,0,26.1,99.7,391,0,
정병두,2024.8.17 4:00,25.4,0,0,0,1549,0,26.1,99.6,391,0,
정병두,2024.8.17 5:00,25.2,0,0,0,1549,0,25.8,99.6,391,0,
정병두,2024.8.17 6:00,25.3,0,0,8,0,0,25.9,99.6,391,0,
정병두,2024.8.17 7:00,26.7,180,0,198,30,0,27.7,98.8,391,0,
정병두,2024.8.17 8:00,28.4,180,0,411,105,0,29.5,98.9,391,0,
정병두,2024.8.17 9:00,30.4,180,0,532,266,0,31.9,99.3,391,0,
정병두,2024.8.17 10:00,32.7,180,0,717,491,0,33.8,99.5,391,0,
정병두,2024.8.17 11:00,30.6,0,0,210,655,0,32.7,100,391,0,
정병두,2024.8.17 12:00,31.6,0,0,251,885,0,35.1,100,391,0,
정병두,2024.8.17 13:00,33.8,180,0,982,1091,0,37.7,99.2,391,0,
정병두,2024.8.17 14:00,34.3,0,0.1,835,1327,0,37.3,99,391,0,
정병두,2024.8.17 15:00,34.7,180,1.1,731,1595,0,37.5,99.7,391,0,
정병두,2024.8.17 16:00,31.3,0,1.4,284,1773,0,34.6,100,391,0,
정병두,2024.8.17 17:00,24.4,180,1.8,21,1824,1,29.7,100,391,0,
정병두,2024.8.17 18:00,24.8,0,0,26,1837,0,27.8,99.9,391,0,
정병두,2024.8.17 19:00,25.6,0,0,14,1843,0,27.2,99.6,391,0,
정병두,2024.8.17 20:00,26.1,0,0,0,1844,0,27.1,99.6,391,0,
정병두,2024.8.17 21:00,26.3,0,0,0,1844,0,26.8,99.6,391,0,
정병두,2024.8.17 22:00,26.2,0,0,0,1844,0,26.8,99.6,391,0,
정병두,2024.8.17 23:00,26.3,0,0,0,1844,0,26.7,99.6,391,0,
정병두,2024.8.18 0:00,26.3,0,0,0,1844,0,26.9,99.5,391,0,
정병두,2024.8.18 1:00,26.2,0,0,0,1844,0,26.7,99.6,391,0,
정병두,2024.8.18 2:00,26.1,0,0,0,1844,0,26.9,99.6,416,0,
정병두,2024.8.18 3:00,24.8,0,0,0,1844,1,27,99.6,407,0,
정병두,2024.8.18 4:00,23.7,180,0,0,1844,0,25.8,100,368,0,
정병두,2024.8.18 5:00,24.2,180,0,0,1844,0,25.4,99.9,368,0,
정병두,2024.8.18 6:00,23.8,180,0,8,0,0,24.9,99.7,365,0,
정병두,2024.8.18 7:00,24.8,180,0,160,23,0,26.5,99.3,375,0,
정병두,2024.8.18 8:00,26.4,180,0,353,117,0,29.2,99.4,417,0,
정병두,2024.8.18 9:00,29,180,0,478,282,0,31,99.6,420,0,
정병두,2024.8.18 10:00,31.4,180,0,698,505,0,33.7,99.4,422,0,
정병두,2024.8.18 11:00,31.6,0,0.9,821,780,0,35.1,99.4,418,0,
정병두,2024.8.18 12:00,35.1,0,0,886,1083,0,36,99.4,418,0,
정병두,2024.8.18 13:00,33.5,0,0,867,1402,0,37.5,99.7,412,0,
정병두,2024.8.18 14:00,33.8,0,1.4,1025,1685,0,38.5,99.7,405,0,
정병두,2024.8.18 15:00,32.6,0,0,118,1852,0,35,100,411,0,
정병두,2024.8.18 16:00,26.8,180,0,49,1883,1,29.8,100,392,0,
정병두,2024.8.18 17:00,26,0,0,43,1897,0,28.5,99.6,390,0,
정병두,2024.8.18 18:00,26.2,0,0,35,1911,0,27.8,99.6,387,0,
정병두,2024.8.18 19:00,26.5,0,0,17,1920,0,27.6,99.7,407,0,
정병두,2024.8.18 20:00,25.7,0,0,2,1923,0,26.7,99.6,402,0,
정병두,2024.8.18 21:00,25.5,0,0,4,1924,0,26.4,99.8,418,0,
정병두,2024.8.18 22:00,25.1,0,0,3,1925,0,26,99.4,410,0,
정병두,2024.8.18 23:00,24.9,0,0,2,1926,0,25.8,99.5,411,0,
정병두,2024.8.19 0:00,25.1,0,0,5,1927,0,25.8,99.6,428,0,
정병두,2024.8.19 1:00,25.3,0,0,5,1929,0,26,99.2,411,0,
정병두,2024.8.19 2:00,25,0,0,3,1930,0,25.7,99.6,453,0,
정병두,2024.8.19 3:00,25.1,0,0,4,1931,0,25.9,99.2,433,0,
정병두,2024.8.19 4:00,24.8,0,0,2,1932,0,25.6,99.6,457,0,
정병두,2024.8.19 5:00,25,0,0,3,1933,0,25.5,99.6,435,0,
정병두,2024.8.19 6:00,24.7,0,0,11,0,0,25.3,99.6,442,0,
정병두,2024.8.19 7:00,25.4,0,0,157,25,0,26.6,98.8,420,0,
정병두,2024.8.19 8:00,28.4,0,0,368,121,0,29.4,99.1,418,0,
정병두,2024.8.19 9:00,30.8,0,0,545,285,0,31.9,99.3,437,0,
정병두,2024.8.19 10:00,31.7,0,0,630,514,0,34.3,99.8,422,0,
정병두,2024.8.19 11:00,34,0,0,844,794,0,36.2,99.7,414,0,
정병두,2024.8.19 12:00,35,0,0,877,1100,0,37.8,100,412,0,
정병두,2024.8.19 13:00,34,0,0,922,1401,0,40,100,425,0,
정병두,2024.8.19 14:00,34.3,0,1.4,780,1690,0,39.5,99.9,419,0,
정병두,2024.8.19 15:00,35.6,0,1.1,709,1955,0,38.4,99.7,412,0,
정병두,2024.8.19 16:00,35.7,0,1.3,497,2162,0,39.3,100,421,0,
정병두,2024.8.19 17:00,34.7,0,0,324,2309,0,39,100,414,0,
정병두,2024.8.19 18:00,34.3,0,0,132,2389,0,36.4,100,411,0,
정병두,2024.8.19 19:00,32.1,0,0,5,2412,0,32.9,100,409,0,
정병두,2024.8.19 20:00,30.1,0,0,0,2412,0,30.4,100,431,0,
정병두,2024.8.19 21:00,29.1,0,0,0,2412,0,29.5,99.7,451,0,
정병두,2024.8.19 22:00,28.1,0,0,0,2412,0,28.6,99.6,439,0,
정병두,2024.8.19 23:00,27.6,0,0,0,2412,0,28.2,99.5,460,0,
정병두,2024.8.20 0:00,27,0,0,0,2412,0,27.6,100,459,0,
정병두,2024.8.20 1:00,26.7,0,0,0,2412,0,27.4,99.6,445,0,
정병두,2024.8.20 2:00,27,0,0,0,2412,0,27.4,99.6,435,0,
정병두,2024.8.20 3:00,26.9,0,0,0,2412,0,27.4,99.6,428,0,
정병두,2024.8.20 4:00,26.8,0,0,0,2412,0,27.4,100,427,0,
정병두,2024.8.20 5:00,26.3,0,0,0,2412,0,26.7,99.9,429,0,
정병두,2024.8.20 6:00,26.4,0,0,5,0,0,26.7,99.6,410,0,
정병두,2024.8.20 7:00,28,0,0,144,21,0,28.2,98.1,417,0,
정병두,2024.8.20 8:00,30,0,0,339,108,0,32.2,98.9,466,0,
정병두,2024.8.20 9:00,31.8,0,0,546,267,0,33.6,99.7,449,0,
정병두,2024.8.20 10:00,33.1,180,1.8,704,492,0,35.9,99.4,432,0,
정병두,2024.8.20 11:00,35.3,180,1,817,764,0,37.8,100,423,0,
정병두,2024.8.20 12:00,34.8,180,1.7,370,1039,0,38.8,100,423,0,
정병두,2024.8.20 13:00,34.5,0,0,344,1183,0,37.2,99.9,424,0,
정병두,2024.8.20 14:00,36.2,0,2.4,879,1449,0,41.2,99.4,429,0,
정병두,2024.8.20 15:00,34.3,0,0,181,1601,0,36.3,99.8,416,0,
정병두,2024.8.20 16:00,31,0,0,81,1642,0,33,100,407,0,
정병두,2024.8.20 17:00,32,180,0,84,1667,0,32.7,99.7,413,0,
정병두,2024.8.20 18:00,33,0,0,137,1754,0,35.2,100,415,0,
정병두,2024.8.20 19:00,31.4,180,0,5,1768,0,32.1,99.9,408,0,
정병두,2024.8.20 20:00,30.6,180,0,0,1768,0,31,99.3,420,0,
정병두,2024.8.20 21:00,30.4,0,0,0,1768,0,30.7,99.6,414,0,
정병두,2024.8.20 22:00,30.3,180,0,0,1768,0,30.4,99.6,414,0,
정병두,2024.8.20 23:00,29.3,0,0,0,1768,1,29.9,99.3,428,0,
정병두,2024.8.21 0:00,29.5,0,1.9,0,1768,0,29.7,100,398,0,
정병두,2024.8.21 1:00,29.7,0,1.1,0,1768,0,29.7,99.6,397,0,
정병두,2024.8.21 2:00,29.8,0,1.2,0,1768,0,30,99.3,397,0,
정병두,2024.8.21 3:00,27.5,0,1.8,0,1769,0,28.7,99.6,391,0,
정병두,2024.8.21 4:00,27.1,0,0,0,1769,1,28.4,99.7,386,0,
정병두,2024.8.21 5:00,26.5,0,0,0,1769,1,28.2,99.6,383,0,
