농가명,조사일자,개체번호,줄기번호,초장,생장길이,엽수,엽장,엽폭,줄기굵기,화방높이,화방번호,화방별총개수,화방별꽃수,화방별꽃봉오리수,화방별개화수,화방별착과수,화방별적과수,화방별수확수,비고
정병두,2024-09-04,1,1,83,,10,32,22,6.08,,1,4,4,4,0,0,0,0,
정병두,2024-09-04,2,1,76,,10,36,25.8,4.18,,1,4,4,4,0,0,0,0,
정병두,2024-09-04,3,1,74,,11,32.7,20.5,4.34,,1,3,3,3,0,0,0,0,
정병두,2024-09-04,4,1,68,,9,34.2,23.6,6.05,,1,3,3,3,0,0,0,0,
정병두,2024-09-04,5,1,69,,11,33.3,25,5.31,,1,4,4,4,0,0,0,0,
정병두,2024-09-04,6,1,78,,9,36.5,35.5,4.74,,1,4,4,4,0,0,0,0,
정병두,2024-09-11,1,1,114,31,10,39.5,29.7,11,26,1,6,4,3,1,2,0,0,
정병두,2024-09-11,2,1,107,31,10,42.3,29.4,10.35,25.2,1,5,5,2,3,0,0,0,
정병두,2024-09-11,2,1,107,31,10,42.3,29.4,10.35,25.2,2,4,4,4,0,0,0,0,
정병두,2024-09-11,3,1,107.4,33.4,11,39.9,30.5,9.75,20.8,1,3,2,0,2,1,0,0,
정병두,2024-09-11,3,1,107.4,33.4,11,39.9,30.5,9.75,20.8,2,4,4,4,0,0,0,0,
정병두,2024-09-11,4,1,111,43,9,35.2,27.6,10.34,38.6,1,3,3,0,3,0,0,0,
정병두,2024-09-11,4,1,111,43,9,35.2,27.6,10.34,38.6,2,4,4,4,0,0,0,0,
정병두,2024-09-11,5,1,107,38,10,39.5,32.2,9.72,27.1,1,4,3,0,3,1,0,0,
정병두,2024-09-11,5,1,107,38,10,39.5,32.2,9.72,27.1,2,3,3,3,0,0,0,0,
정병두,2024-09-11,6,1,106,28,10,38.5,42.6,8.85,30.5,1,4,4,0,4,0,0,0,
정병두,2024-09-11,6,1,106,28,10,38.5,42.6,8.85,30.5,2,5,5,5,0,0,0,0,
정병두,2024-09-20,1,1,149.8,35.8,15,34,27,10.12,17.9,1,7,3,3,0,4,0,0,
정병두,2024-09-20,1,1,149.8,35.8,15,34,27,10.12,17.9,2,5,5,3,2,0,0,0,
정병두,2024-09-20,2,1,139,32,13,41.2,35.6,8.86,31.6,1,6,3,1,2,3,0,0,
정병두,2024-09-20,2,1,139,32,13,41.2,35.6,8.86,31.6,2,4,4,1,3,0,0,0,
정병두,2024-09-20,2,1,139,32,13,41.2,35.6,8.86,31.6,3,4,4,4,0,0,0,0,
정병두,2024-09-20,3,1,141.4,34,14,38,25,9.9,28,1,3,0,0,0,3,0,0,
정병두,2024-09-20,3,1,141.4,34,14,38,25,9.9,28,2,8,8,4,4,0,0,0,
정병두,2024-09-20,3,1,141.4,34,14,38,25,9.9,28,3,4,4,4,0,0,0,0,
정병두,2024-09-20,4,1,149,38,13,41,33.6,9.21,32.5,1,3,0,0,0,3,0,0,
정병두,2024-09-20,4,1,149,38,13,41,33.6,9.21,32.5,2,4,4,1,3,0,0,0,
정병두,2024-09-20,4,1,149,38,13,41,33.6,9.21,32.5,3,5,5,5,0,0,0,0,
정병두,2024-09-20,5,1,143,36,15,38.5,39.6,10.91,35.3,1,5,2,0,2,3,0,0,
정병두,2024-09-20,5,1,143,36,15,38.5,39.6,10.91,35.3,2,5,4,2,2,1,0,0,
정병두,2024-09-20,5,1,143,36,15,38.5,39.6,10.91,35.3,3,3,3,3,0,0,0,0,
정병두,2024-09-20,6,1,141,35,15,41.2,31.2,13.3,37.2,1,4,0,0,0,4,0,0,
정병두,2024-09-20,6,1,141,35,15,41.2,31.2,13.3,37.2,2,5,4,1,3,1,0,0,
정병두,2024-09-20,6,1,141,35,15,41.2,31.2,13.3,37.2,3,4,4,4,0,0,0,0,
정병두,2024-09-25,1,1,167.8,18,12,37.3,32.5,10.65,34.9,1,7,1,0,1,5,1,0,
정병두,2024-09-25,1,1,167.8,18,12,37.3,32.5,10.65,34.9,2,6,6,3,3,0,0,0,
정병두,2024-09-25,1,1,167.8,18,12,37.3,32.5,10.65,34.9,3,4,4,4,0,0,0,0,
정병두,2024-09-25,2,1,151,12,7,40.5,41.3,11.68,43.5,1,6,0,0,0,5,1,0,
정병두,2024-09-25,2,1,151,12,7,40.5,41.3,11.68,43.5,2,4,3,1,2,0,1,0,
정병두,2024-09-25,2,1,151,12,7,40.5,41.3,11.68,43.5,3,5,5,5,0,0,0,0,
정병두,2024-09-25,3,1,160.6,19.2,12,38.5,38,10.72,19.2,1,3,0,0,0,3,0,0,
정병두,2024-09-25,3,1,160.6,19.2,12,38.5,38,10.72,19.2,2,9,9,5,4,0,0,0,
정병두,2024-09-25,3,1,160.6,19.2,12,38.5,38,10.72,19.2,3,7,7,5,2,0,0,0,
정병두,2024-09-25,3,1,160.6,19.2,12,38.5,38,10.72,19.2,4,3,3,3,0,0,0,0,
정병두,2024-09-25,4,1,165.4,16.4,12,42,40.3,10.45,20,1,3,0,0,0,3,0,0,
정병두,2024-09-25,4,1,165.4,16.4,12,42,40.3,10.45,20,2,4,1,0,1,2,1,0,
정병두,2024-09-25,4,1,165.4,16.4,12,42,40.3,10.45,20,3,6,6,4,2,0,0,0,
정병두,2024-09-25,4,1,165.4,16.4,12,42,40.3,10.45,20,4,2,2,2,0,0,0,0,
정병두,2024-09-25,5,1,160,17,9,39,42.3,14.39,50,1,5,0,0,0,5,0,0,
정병두,2024-09-25,5,1,160,17,9,39,42.3,14.39,50,2,5,2,0,2,2,1,0,
정병두,2024-09-25,5,1,160,17,9,39,42.3,14.39,50,3,3,3,3,0,0,0,0,
정병두,2024-09-25,5,1,160,17,9,39,42.3,14.39,50,4,2,2,2,0,0,0,0,
정병두,2024-09-25,6,1,158,17,11,35.5,34.2,8.96,27.4,1,4,0,0,0,4,0,0,
정병두,2024-09-25,6,1,158,17,11,35.5,34.2,8.96,27.4,2,5,3,0,3,2,0,0,
정병두,2024-09-25,6,1,158,17,11,35.5,34.2,8.96,27.4,3,4,2,0,2,2,0,0,
정병두,2024-09-25,6,1,158,17,11,35.5,34.2,8.96,27.4,4,6,6,6,0,0,0,0,
정병두,2024-10-02,1,1,195.3,27.5,16,47.6,36,7.65,14.5,1,7,0,0,0,6,1,0,
정병두,2024-10-02,1,1,195.3,27.5,16,47.6,36,7.65,14.5,2,8,4,3,1,4,0,0,
정병두,2024-10-02,1,1,195.3,27.5,16,47.6,36,7.65,14.5,3,5,5,4,1,0,0,0,
정병두,2024-10-02,1,1,195.3,27.5,16,47.6,36,7.65,14.5,4,4,4,4,0,0,0,0,
정병두,2024-10-02,2,1,178.2,27.2,12,37.2,42,11.72,25.1,1,6,0,0,0,4,2,0,
정병두,2024-10-02,2,1,178.2,27.2,12,37.2,42,11.72,25.1,2,4,0,0,0,2,2,0,
정병두,2024-10-02,2,1,178.2,27.2,12,37.2,42,11.72,25.1,3,5,5,2,3,0,0,0,
정병두,2024-10-02,2,1,178.2,27.2,12,37.2,42,11.72,25.1,4,6,6,6,0,0,0,0,
